Mass of chassis: 1.25
Time X Y Z
0.294 3.94485e-21 0.143079 3.08285e-11
0.295 3.87037e-21 0.143133 3.08285e-11
0.296 3.79587e-21 0.143176 3.08285e-11
0.297 3.72135e-21 0.14321 3.08285e-11
0.298 3.60648e-21 0.143234 3.08285e-11
0.299 3.65294e-21 0.143248 3.08285e-11
0.3 3.65907e-21 0.143252 3.08285e-11
0.301 3.66522e-21 0.143247 3.08285e-11
0.302 3.67137e-21 0.143231 3.08285e-11
0.303 3.63719e-21 0.143206 3.08285e-11
0.304 3.60301e-21 0.143171 3.08285e-11
0.305 3.56885e-21 0.143127 3.08285e-11
0.306 3.5347e-21 0.143072 3.08285e-11
0.307 3.50054e-21 0.143008 3.08285e-11
0.308 3.45528e-21 0.142933 3.08285e-11
0.309 3.36562e-21 0.142849 3.08285e-11
0.31 3.21489e-21 0.142756 3.08285e-11
0.311 3.22376e-21 0.142652 3.08285e-11
0.312 3.1216e-21 0.142539 3.08285e-11
0.313 2.97503e-21 0.142415 3.08285e-11
0.314 2.83957e-21 0.142282 3.08285e-11
0.314999 2.77072e-21 0.142139 3.08285e-11
0.315999 2.71297e-21 0.141987 3.08285e-11
0.316999 2.69964e-21 0.141824 3.08285e-11
0.317999 2.60555e-21 0.141652 3.08285e-11
0.318999 2.51146e-21 0.14147 3.08285e-11
0.319999 2.41745e-21 0.141278 3.08285e-11
0.320999 2.32347e-21 0.141076 3.08285e-11
0.321999 2.18904e-21 0.140865 3.08285e-11
0.322999 2.21595e-21 0.140643 3.08285e-11
0.323999 2.16222e-21 0.140412 3.08285e-11
0.324999 2.06814e-21 0.140171 3.08285e-11
0.325999 1.88525e-21 0.13992 3.08285e-11
0.326999 1.85778e-21 0.13966 3.08285e-11
0.327999 1.74974e-21 0.139389 3.08285e-11
0.328999 1.56095e-21 0.139109 3.08285e-11
0.329999 1.69507e-21 0.138819 3.08285e-11
0.330999 1.5872e-21 0.138519 3.08285e-11
0.331999 1.60051e-21 0.13821 3.08285e-11
0.332999 1.73493e-21 0.13789 3.08285e-11
0.333999 1.62737e-21 0.137561 3.08285e-11
0.334999 1.68109e-21 0.137222 3.08285e-11
0.335999 1.73516e-21 0.136873 3.08285e-11
0.336999 1.74881e-21 0.136514 3.08285e-11
0.337999 1.7221e-21 0.136146 3.08285e-11
0.338999 1.73573e-21 0.135768 3.08285e-11
0.339999 1.78999e-21 0.135379 3.08285e-11
0.340999 1.80384e-21 0.134982 3.08285e-11
0.341999 1.85806e-21 0.134574 3.08285e-11
0.342999 1.95243e-21 0.134156 3.08285e-11
0.343999 2.12759e-21 0.133729 3.08285e-11
0.344999 2.14141e-21 0.133292 3.08285e-11
0.345999 2.15527e-21 0.132845 3.08285e-11
0.346999 2.1692e-21 0.132388 3.08285e-11
0.347999 2.18279e-21 0.131921 3.08285e-11
0.348999 2.14086e-21 0.131445 3.08285e-11
0.349999 2.04342e-21 0.130959 3.08285e-11
0.350999 1.90504e-21 0.130463 3.08285e-11
0.351999 1.84746e-21 0.129957 3.08285e-11
0.352999 1.70952e-21 0.129441 3.08285e-11
0.353999 1.6525e-21 0.128916 3.08285e-11
0.354999 1.63598e-21 0.128381 3.08285e-11
0.355999 1.65989e-21 0.127835 3.08285e-11
0.356999 1.72413e-21 0.127281 3.08285e-11
0.357999 1.70796e-21 0.126716 3.08285e-11
0.358999 1.61087e-21 0.126141 3.08285e-11
0.359999 1.55411e-21 0.125557 3.08285e-11
0.360999 1.61843e-21 0.124963 3.08285e-11
0.361999 1.75492e-21 0.124359 3.08285e-11
0.362999 1.64924e-21 0.123745 3.08285e-11
0.363999 1.69345e-21 0.123122 3.08285e-11
0.364999 1.69324e-21 0.122488 3.08285e-11
0.365999 1.61532e-21 0.121845 3.08285e-11
0.366999 1.65813e-21 0.121192 3.08285e-11
0.367999 1.74535e-21 0.120529 3.08285e-11
0.368999 1.716e-21 0.119857 3.08285e-11
0.369999 1.55342e-21 0.119174 3.08285e-11
0.370999 1.65036e-21 0.118482 3.08285e-11
0.371999 1.74314e-21 0.11778 3.08285e-11
0.372999 1.68672e-21 0.117068 3.08285e-11
0.373999 1.50931e-21 0.116347 3.08285e-11
0.374999 1.57338e-21 0.115615 3.08285e-11
0.375999 1.63753e-21 0.114874 3.08285e-11
0.376999 1.70159e-21 0.114123 3.08285e-11
0.377999 1.60407e-21 0.113362 3.08285e-11
0.378999 1.54687e-21 0.112591 3.08285e-11
0.379999 1.53027e-21 0.111811 3.08285e-11
0.380999 1.51229e-21 0.11102 3.08285e-11
0.381999 1.49404e-21 0.11022 3.08285e-11
0.382999 1.47509e-21 0.10941 3.08285e-11
0.383999 1.45607e-21 0.10859 3.08285e-11
0.384999 1.43738e-21 0.107761 3.08285e-11
0.385999 1.41731e-21 0.106922 3.08285e-11
0.386999 1.39655e-21 0.106072 3.08285e-11
0.387999 1.37613e-21 0.105213 3.08285e-11
0.388999 1.35676e-21 0.104345 3.08285e-11
0.389999 1.33773e-21 0.103466 3.08285e-11
0.390999 1.3187e-21 0.102578 3.08285e-11
0.391998 1.29969e-21 0.101679 3.08285e-11
0.392998 1.24034e-21 0.100771 3.08285e-11
0.393998 1.10031e-21 0.0998534 3.08285e-11
0.394998 -2.10665e-20 0.0989286 3.07741e-11
0.395998 2.78209e-20 0.0979983 3.04604e-11
0.396998 -9.38219e-20 0.0970637 2.95727e-11
0.397998 6.3068e-20 0.0961263 2.80546e-11
0.398998 -9.83652e-20 0.0951875 2.60714e-11
0.399998 1.21052e-19 0.0942485 2.33565e-11
0.400998 6.76217e-20 0.0933107 1.80948e-11
0.401998 -7.67585e-20 0.0923756 1.07281e-11
0.402998 5.06457e-19 0.0914444 1.48848e-12
0.403998 7.03137e-19 0.0905184 -9.44012e-12
0.404998 5.70126e-19 0.0895991 -1.82912e-11
0.405998 4.48483e-19 0.0886876 -2.72068e-11
0.406998 2.13153e-19 0.0877854 -3.63425e-11
0.407998 -3.29131e-19 0.0868936 -4.57001e-11
0.408998 -3.14349e-19 0.0860135 -5.54695e-11
0.409998 6.42299e-20 0.0851465 -6.55326e-11
0.410998 -2.84787e-19 0.0842936 -7.58567e-11
0.411998 -6.56541e-19 0.083456 -8.65396e-11
0.412998 -5.16704e-19 0.082635 -9.76523e-11
0.413998 -6.0424e-19 0.0818317 -1.09207e-10
0.414998 -8.05464e-19 0.0810472 -1.22972e-10
0.415998 -5.29203e-19 0.0802826 -1.34992e-10
0.416998 -5.37159e-19 0.0795388 -1.47333e-10
0.417998 -5.67852e-19 0.078817 -1.61777e-10
0.418998 -7.80445e-19 0.0781181 -1.7795e-10
0.419998 -2.19966e-19 0.0774431 -1.97414e-10
0.420998 1.08201e-20 0.0767928 -2.16118e-10
0.421998 1.42328e-20 0.0761681 -2.37626e-10
0.422998 -5.05665e-20 0.0755699 -2.58017e-10
0.423998 1.12008e-19 0.0749989 -2.808e-10
0.424998 2.29107e-19 0.074456 -3.05597e-10
0.425998 1.18833e-19 0.0739417 -3.28441e-10
0.426998 8.81399e-20 0.0734567 -3.49334e-10
0.427998 -4.48716e-20 0.0730018 -3.68786e-10
0.428998 -1.09671e-19 0.0725773 -3.86901e-10
0.429998 -1.40364e-19 0.072184 -4.03938e-10
0.430998 -2.3927e-19 0.0718221 -4.1628e-10
0.431998 -1.33539e-19 0.0714923 -4.24634e-10
0.432998 -8.74936e-20 0.0711948 -4.31446e-10
0.433998 -6.8449e-20 0.07093 -4.37009e-10
0.434998 8.70199e-20 0.0706982 -4.45164e-10
0.435998 8.33272e-20 0.0704996 -4.55449e-10
0.436998 -7.95271e-20 0.0703344 -4.67559e-10
0.437998 3.37422e-19 0.0702028 -4.79281e-10
0.438998 4.24678e-19 0.0701048 -4.90597e-10
0.439998 6.82465e-19 0.0700405 -5.01512e-10
0.440998 5.53717e-19 0.0700099 -5.12073e-10
0.441998 1.40752e-19 0.070013 -5.22289e-10
0.442998 3.30327e-19 0.0700495 -5.32179e-10
0.443998 4.51689e-19 0.0701195 -5.41755e-10
0.444998 1.36886e-18 0.0702226 -5.51041e-10
0.445998 8.76314e-19 0.0703587 -5.56436e-10
0.446998 6.56616e-19 0.0705274 -5.58555e-10
0.447998 4.88078e-19 0.0707285 -5.59651e-10
0.448998 2.85433e-19 0.0709615 -5.59823e-10
0.449998 3.67005e-19 0.0712259 -5.59253e-10
0.450998 4.65631e-19 0.0715214 -5.58043e-10
0.451998 4.96044e-19 0.0718474 -5.59905e-10
0.452998 9.12993e-19 0.0722034 -5.60585e-10
0.453998 1.14804e-18 0.0725887 -5.63901e-10
0.454998 9.51082e-19 0.0730027 -5.69503e-10
0.455998 1.32256e-18 0.0734447 -5.73259e-10
0.456998 1.26202e-18 0.0739141 -5.79118e-10
0.457998 1.17875e-18 0.0744099 -5.83076e-10
0.458998 1.03294e-18 0.0749316 -5.85434e-10
0.459998 1.27368e-18 0.0754782 -5.86331e-10
0.460998 6.16287e-19 0.0760488 -5.85956e-10
0.461998 5.72804e-19 0.0766426 -5.84353e-10
0.462998 4.95215e-19 0.0772587 -5.82023e-10
0.463998 1.2204e-19 0.0778961 -5.78896e-10
0.464998 1.354e-19 0.0785537 -5.75001e-10
0.465998 2.37047e-20 0.0792307 -5.70668e-10
0.466998 2.41701e-19 0.0799259 -5.65662e-10
0.467998 4.14223e-19 0.0806384 -5.60245e-10
0.468998 4.38952e-19 0.081367 -5.54138e-10
0.469997 7.82004e-19 0.0821106 -5.47663e-10
